decision,net_return
2003-01-03,0.0
2003-01-10,0.0
2003-01-17,0.0
2003-01-24,0.0
2003-01-31,0.0
2003-02-07,0.0
2003-02-14,0.0
2003-02-21,0.0
2003-02-28,0.0
2003-03-07,0.0
2003-03-14,0.0
2003-03-21,0.0
2003-03-28,0.0
2003-04-04,0.0
2003-04-11,0.0
2003-04-17,0.0
2003-04-25,0.0
2003-05-02,0.0
2003-05-09,-0.008936599965509785
2003-05-16,0.012658708183948809
2003-05-23,-0.001217196895375166
2003-05-30,0.0038364936133184944
2003-06-06,0.005301423560370432
2003-06-13,-0.009124834357219747
2003-06-20,0.0023778324361745907
2003-06-27,-0.0013708088297123091
2003-07-03,-0.006064127002713857
2003-07-11,-0.00677880383267031
2003-07-18,0.0007501096680607811
2003-07-25,0.0026125592399507585
2003-08-01,-0.013467425014423273
2003-08-08,0.0009997127103399182
2003-08-15,0.004318457794195203
2003-08-22,0.0009361117278708184
2003-08-29,-0.004723967160271071
2003-09-05,-0.003518015372957335
2003-09-12,0.004080470771265916
2003-09-19,-0.0002806299035988023
2003-09-26,-0.0060217358277429005
2003-10-03,0.0028178289612526145
2003-10-10,0.0033845751221731994
2003-10-17,0.0018612923765008852
2003-10-24,0.0028685886065922465
2003-10-31,0.002005016743474337
2003-11-07,-0.0075563518400634895
2003-11-14,0.001467391427475928
2003-11-21,0.0014717908964323634
2003-11-28,-0.011039534615059656
2003-12-05,0.006866897919260118
2003-12-12,-0.0016430406789336492
2003-12-19,-0.004581325802560834
2003-12-26,0.003291464006895161
2004-01-02,-0.006317982728308506
2004-01-09,0.005311382814470511
2004-01-16,-0.006015058213750089
2004-01-23,-0.00017614584517758834
2004-01-30,-0.004298740620153434
2004-02-06,-0.0028815014753785896
2004-02-13,0.003521545409790267
2004-02-20,0.0023397174872898446
2004-02-27,0.0018233895689408726
2004-03-05,0.00018097521512130098
2004-03-12,-0.0006817604480839714
2004-03-19,-0.004439487820189686
2004-03-26,-0.0013196687794853378
2004-04-02,0.0003971164730331139
2004-04-08,-0.005486735582828167
2004-04-16,-0.004698893585912219
2004-04-23,0.00888663345444657
2004-04-30,-0.0007126353705655196
2004-05-07,0.0003941048266338288
2004-05-14,-0.00826676633862682
2004-05-21,-0.004439617411396665
2004-05-28,-0.0026720802276803614
