decision,net_return
2003-01-03,0.0
2003-01-10,0.0
2003-01-17,0.0
2003-01-24,0.0
2003-01-31,0.0
2003-02-07,0.0
2003-02-14,0.0
2003-02-21,0.0
2003-02-28,0.0
2003-03-07,0.0
2003-03-14,-0.007281217508216638
2003-03-21,-0.005022333071509494
2003-03-28,-0.004161156730642665
2003-04-04,-0.0029669120411777335
2003-04-11,-0.009497397334732677
2003-04-17,-0.0015422858006665114
2003-04-25,-0.0014065814886789793
2003-05-02,0.0017019087106629892
2003-05-09,-0.009270384874919699
2003-05-16,0.009714166474385645
2003-05-23,-0.003011617353986904
2003-05-30,0.00019220991755243306
2003-06-06,0.006574273116274395
2003-06-13,-0.013509154379631317
2003-06-20,-0.000603032614752123
2003-06-27,6.889352379904656e-05
2003-07-03,-0.004654512012967245
2003-07-11,-0.00942767859637526
2003-07-18,0.003970325719601671
2003-07-25,0.00022689317063184322
2003-08-01,-0.013931850139504461
2003-08-08,-0.00010000563112470384
2003-08-15,0.0020461479415897535
2003-08-22,0.006844753225633617
2003-08-29,-0.003387474010283119
2003-09-05,-0.02689904302301365
2003-09-12,0.0025232210695555536
2003-09-19,-0.00024127403019885902
2003-09-26,-0.00947664334314805
2003-10-03,-0.0010513600935279283
2003-10-10,0.004976401404071502
2003-10-17,0.0015150357351649264
2003-10-24,0.006404026783326558
2003-10-31,-0.002956229201773932
2003-11-07,-0.0076365782915862
2003-11-14,0.004527025611285629
2003-11-21,0.0036174013180347827
2003-11-28,-0.003659356431759081
2003-12-05,0.007761712222969035
2003-12-12,0.0014347364382815693
2003-12-19,-0.00231501776775449
2003-12-26,0.0026368415683985648
2004-01-02,-0.0010300659888544048
2004-01-09,0.0016553525330460037
2004-01-16,-0.007258182045242303
2004-01-23,0.00191882498009363
2004-01-30,-0.004359038018078734
2004-02-06,0.00021113992312116875
2004-02-13,0.002710438028341186
2004-02-20,0.002293508132531964
2004-02-27,0.0021074925932097095
2004-03-05,-0.0007190282288078843
2004-03-12,-0.0003540386062378774
2004-03-19,-0.007037871494641944
2004-03-26,-0.0017681430632327804
2004-04-02,-0.000545346879848939
2004-04-08,-0.009510831305668498
2004-04-16,-0.0028128839892589694
2004-04-23,0.002090615916925344
2004-04-30,-0.0032355880513701466
2004-05-07,0.0031640451586720155
