decision,net_return
2003-01-03,0.0
2003-01-10,0.0
2003-01-17,0.0
2003-01-24,0.0
2003-01-31,0.0
2003-02-07,0.0
2003-02-14,0.0
2003-02-21,0.0
2003-02-28,0.0
2003-03-07,0.0
2003-03-14,0.0
2003-03-21,0.0
2003-03-28,0.0
2003-04-04,-0.0029835298187512933
2003-04-11,0.0033994045183247364
2003-04-17,-0.002017420405105577
2003-04-25,0.0030956300012357917
2003-05-02,0.00388095047395622
2003-05-09,0.004466051385091405
2003-05-16,0.011233228180726683
2003-05-23,-0.00484063516166425
2003-05-30,-0.0016289526515818125
2003-06-06,0.0005716148060095718
2003-06-13,0.0004986409337214016
2003-06-20,-0.0030171558394915263
2003-06-27,-0.0015714212769726856
2003-07-03,-0.0011793285588114584
2003-07-11,-0.006064968863837388
2003-07-18,-0.00079331045741446
2003-07-25,-0.00021149807775458994
2003-08-01,0.000818440537354215
2003-08-08,-0.0009840652043488184
2003-08-15,0.0034913103923172903
2003-08-22,0.0021802690089601073
2003-08-29,0.0008601711251880416
2003-09-05,0.0037084180076423887
2003-09-12,0.0024071284686084096
2003-09-19,-0.004077499054349719
2003-09-26,0.0034343755352089222
2003-10-03,0.003271040754494859
2003-10-10,-0.0009481045096397768
2003-10-17,0.00015654589575122126
2003-10-24,-0.008815087330831804
2003-10-31,0.0011499165681878479
2003-11-07,-0.002356739477428464
2003-11-14,-0.0016318375920378041
2003-11-21,0.0004938063599166001
2003-11-28,-0.0062305046316814
2003-12-05,-0.00602407989307921
2003-12-12,-0.0012983901585179442
2003-12-19,-0.0003960615051396796
2003-12-26,-0.004313890218461163
2004-01-02,-0.003462855035660622
2004-01-09,-0.0003834526537625733
2004-01-16,0.0031415208846253327
2004-01-23,6.359503863864421e-05
2004-01-30,-0.001631711158695712
2004-02-06,-0.0038676157666843675
2004-02-13,-0.0011687292788641053
2004-02-20,0.003128931386756632
2004-02-27,-0.00029999883448708793
2004-03-05,-0.0015644942201156454
2004-03-12,-0.0008515069101680418
2004-03-19,0.00020354996953375355
2004-03-26,-0.0021375231235893446
2004-04-02,-0.00289770425617753
2004-04-08,0.0019647895642755007
2004-04-16,-3.905252944777591e-05
2004-04-23,-0.005289553990591058
2004-04-30,0.0052492371065913455
2004-05-07,-0.00013432715554534283
