decision,net_return
2003-01-03,0.0
2003-01-10,0.0
2003-01-17,0.0
2003-01-24,0.0
2003-01-31,0.0
2003-02-07,0.0
2003-02-14,0.0
2003-02-21,0.0
2003-02-28,0.0
2003-03-07,0.0
2003-03-14,0.0
2003-03-21,0.0
2003-03-28,0.0
2003-04-04,-0.0043099214171321044
2003-04-11,-0.0024473818691119224
2003-04-17,0.004202349225475554
2003-04-25,-0.001297344070398279
2003-05-02,-0.0029210201986831818
2003-05-09,-0.003055996958612705
2003-05-16,-0.003768632325481024
2003-05-23,-0.001997419788481711
2003-05-30,0.0018675713754277338
2003-06-06,-0.0049065368287231695
2003-06-13,-0.0008024821267804139
2003-06-20,-0.007279070701423768
2003-06-27,-0.0018361617925613846
2003-07-03,-0.0036746462818643575
2003-07-11,-0.003198320183606003
2003-07-18,-0.0017870592737732737
2003-07-25,-0.002468357981939912
2003-08-01,-0.004339009281717369
2003-08-08,-0.0008279741062692703
2003-08-15,-0.0037410348055920513
2003-08-22,-0.002388617803960543
2003-08-29,-0.002331595185002065
2003-09-05,-0.016096077673592196
2003-09-12,-0.0010063237607032059
2003-09-19,-0.004552395069623832
2003-09-26,0.001912290162361557
2003-10-03,-0.002487650109123811
2003-10-10,-0.006572529114209714
2003-10-17,-0.0009911930097779807
2003-10-24,-0.0038384164041663092
2003-10-31,0.0020674121033298566
2003-11-07,-0.0034189356752066724
2003-11-14,0.0004610852177504062
2003-11-21,-0.004056593596124434
2003-11-28,-0.005217179723109979
2003-12-05,0.0005174887425875997
2003-12-12,-0.004208756293302264
2003-12-19,0.0009411039774607217
2003-12-26,-0.005452393585873259
2004-01-02,-0.0017738738556572697
2004-01-09,-0.0019738313310831146
2004-01-16,-0.0028726042936907423
2004-01-23,0.0017214966487063806
2004-01-30,-0.002124422044919882
2004-02-06,-0.00037805544582515454
2004-02-13,0.0006419038167586385
2004-02-20,-0.00303474585331477
2004-02-27,-0.0005962140565725564
2004-03-05,-0.002337073610847769
2004-03-12,-0.0007309795772653606
2004-03-19,-0.004401536753723686
2004-03-26,-0.00442435098753957
2004-04-02,-0.002432698457302605
2004-04-08,-0.001315550851570375
2004-04-16,-0.0022139321826000107
2004-04-23,-0.0020707921585684215
2004-04-30,-0.0005387591324558462
2004-05-07,-0.0035894781908644207
