cell_id,window,bucket,transform,sharpe,n_obs,avg_turnover,is_primary
w10_quintile_sign,10,quintile,sign,-2.790015571058937,1230,1.5547561975298576,False
w10_decile_sign,10,decile,sign,-2.24932869991312,1230,1.7357363027311634,False
w10_quintile_tanh,10,quintile,tanh,-2.524834862798799,1230,1.554426398649481,False
w10_decile_tanh,10,decile,tanh,-1.977177232348001,1230,1.7350622970741054,False
w15_quintile_sign,15,quintile,sign,-2.5791876790766204,1230,1.4198288638709295,False
w15_decile_sign,15,decile,sign,-1.9218014943198904,1230,1.6164979977858651,False
w15_quintile_tanh,15,quintile,tanh,-2.8466212537844053,1230,1.40795335314497,False
w15_decile_tanh,15,decile,tanh,-2.2268408961310815,1230,1.604567400060553,False
w20_quintile_sign,20,quintile,sign,-2.283366958200809,1230,1.3053402593254342,True
w20_decile_sign,20,decile,sign,-1.9524973076071588,1230,1.5102321886526773,False
w20_quintile_tanh,20,quintile,tanh,-2.3226164972137355,1230,1.283845850089098,False
w20_decile_tanh,20,decile,tanh,-1.7884206445827213,1230,1.4936202079459113,False
w30_quintile_sign,30,quintile,sign,-2.0561435901038068,1230,1.1347547028998368,False
w30_decile_sign,30,decile,sign,-1.659588795237925,1230,1.3356551565695793,False
w30_quintile_tanh,30,quintile,tanh,-1.9105658133988452,1230,1.1084554839248633,False
w30_decile_tanh,30,decile,tanh,-1.6990142247300788,1230,1.3153143464179247,False
w40_quintile_sign,40,quintile,sign,-1.7403488520144217,1230,1.012387565280738,False
w40_decile_sign,40,decile,sign,-1.4644417266787852,1230,1.2079544621053695,False
w40_quintile_tanh,40,quintile,tanh,-1.7199843132987434,1230,0.982810629060791,False
w40_decile_tanh,40,decile,tanh,-1.7063198556216443,1230,1.1782992990508523,False
