,SPY,IWM,EFA,EEM,TLT,IEF,LQD,HYG,GLD,SLV,DBC,USO,UUP,FXE,FXY,VNQ
2003-04-21,90.16,76.87,97.5899,104.2497,87.83,85.49,110.38,,,,,,,,,
2003-04-22,91.56,78.15,98.8699,104.4297,88.26,85.82,110.85,,,,,,,,,
2003-04-23,92.35,78.84,99.8599,104.9199,88.01,85.59,111.05,,,,,,,,,
2003-04-24,92.08,78.7,98.9999,104.0997,88.99,86.13,111.8,,,,,,,,,
2003-04-25,91.47,78.25,97.3699,101.4099,89.1,86.23,111.89,,,,,,,,,
2003-04-28,92.19,78.92,98.9899,102.8199,89.09,86.35,111.73,,,,,,,,,
2003-04-29,92.8,79.55,99.9799,105.7998,88.77,85.94,111.67,,,,,,,,,
2003-04-30,92.57,79.9,100.2899,105.5898,89.52,86.41,112.28,,,,,,,,,
2003-05-01,92.73,79.85,100.4999,105.5697,89.6,86.44,112.38,,,,,,,,,
2003-05-02,93.47,81.35,101.3899,106.6497,89.07,86.14,112.09,,,,,,,,,
2003-05-05,93.78,81.84,102.3699,107.8197,88.87,85.99,111.95,,,,,,,,,
2003-05-06,94.38,82.57,104.5799,108.4797,89.4,86.46,112.855,,,,,,,,,
2003-05-07,94.14,82.39,103.4499,108.1698,90.33,87.15,113.35,,,,,,,,,
2003-05-08,93.33,81.76,102.3999,107.5599,90.9,87.57,113.89,,,,,,,,,
2003-05-09,93.8,82.48,103.1299,108.5397,90.62,87.3,113.45,,,,,,,,,
2003-05-12,95.12,83.45,104.0399,109.9698,91.19,87.81,113.99,,,,,,,,,
2003-05-13,95.18,83.98,104.0499,109.5798,91.37,87.73,113.53,,,,,,,,,
2003-05-14,95.24,84.09,104.4499,109.3497,92.98,88.29,114.18,,,,,,,,,
2003-05-15,95.33,84.4,104.2699,109.0197,93.57,88.3,114.25,,,,,,,,,
2003-05-16,95.45,84.73,105.2299,109.4997,93.76,88.61,114.73,,,,,,,,,
2003-05-19,94.42,83.19,104.1399,108.3999,94.24,88.92,114.9,,,,,,,,,
2003-05-20,93.03,82.11,103.4899,107.1597,94.78,89.16,114.9,,,,,,,,,
2003-05-21,92.88,82.1,102.5599,107.1498,95.66,89.36,114.99,,,,,,,,,
2003-05-22,94.05,82.91,104.3499,108.0897,95.7,89.3,115.37,,,,,,,,,
2003-05-23,93.98,83.65,104.3699,109.4598,96.21,89.5,115.8,,,,,,,,,
2003-05-27,95.84,85.39,105.2899,113.1798,95.71,89.35,115.64,,,,,,,,,
2003-05-28,96.47,86.35,105.9399,113.7597,94.14,88.97,115.17,,,,,,,,,
2003-05-29,96.82,86.97,106.8599,113.9799,94.8,89.39,115.73,,,,,,,,,
2003-05-30,97.09,88.15,106.8999,115.0698,94.74,89.36,115.58,,,,,,,,,
2003-06-02,98.45,89.45,108.3799,117.1998,93.88,88.76,114.83,,,,,,,,,
2003-06-03,97.84,88.77,107.5999,115.9998,94.58,89.44,115.47,,,,,,,,,
2003-06-04,99.35,90.25,108.5399,116.5098,94.71,89.63,115.74,,,,,,,,,
2003-06-05,99.65,91.45,109.4399,116.9199,95.38,89.82,116.0,,,,,,,,,
2003-06-06,101.4,93.08,110.8799,118.8999,94.15,89.19,115.61,,,,,,,,,
2003-06-09,99.1,90.4,109.8899,117.8598,94.88,89.68,116.16,,,,,,,,,
2003-06-10,99.26,90.19,110.0599,117.8997,95.93,90.2,116.7,,,,,,,,,
2003-06-11,100.39,91.05,111.9999,118.0899,96.6,90.37,116.95,,,,,,,,,
2003-06-12,100.9,91.61,112.4399,118.8897,96.73,90.48,117.15,,,,,,,,,
2003-06-13,100.75,91.39,112.3899,118.9497,97.28,90.76,117.7,,,,,,,,,
2003-06-16,101.7,91.24,113.2999,120.1398,97.66,90.8,117.96,,,,,,,,,
2003-06-17,102.18,91.7,113.7899,122.6997,96.0313,90.02,117.04,,,,,,,,,
2003-06-18,102.14,91.53,113.5799,122.8398,95.06,89.5,116.44,,,,,,,,,
2003-06-19,101.73,91.84,112.3099,123.3498,94.48,89.38,116.13,,,,,,,,,
2003-06-20,100.5,90.4,112.5899,122.6997,94.05,89.17,115.8,,,,,,,,,
2003-06-23,99.66,89.7,111.3299,121.7496,94.43,89.59,115.97,,,,,,,,,
2003-06-24,99.09,88.231,109.8799,118.6497,95.18,89.91,116.25,,,,,,,,,
