,SPY,IWM,EFA,EEM,TLT,IEF,LQD,HYG,GLD,SLV,DBC,USO,UUP,FXE,FXY,VNQ
2003-04-30,48709100,2215200,1732202,228600.0,294100,113200,345600,,,,,,,,,
2003-05-01,50240400,2613600,913201,234900.0,231200,77200,47700,,,,,,,,,
2003-05-02,50201500,3410400,778801,67500.0,231500,158900,49200,,,,,,,,,
2003-05-05,35437800,3975800,1083601,47700.0,77700,76900,32100,,,,,,,,,
2003-05-06,44401000,3060200,808201,109800.0,260600,74900,139900,,,,,,,,,
2003-05-07,41413100,3449000,668701,313201.0,306900,159400,102300,,,,,,,,,
2003-05-08,40570700,4200400,1073401,417601.0,437400,113200,1171300,,,,,,,,,
2003-05-09,33608100,2168600,957301,63000.0,110000,82800,36100,,,,,,,,,
2003-05-12,35662300,2536600,860401,752402.0,364700,36300,59500,,,,,,,,,
2003-05-13,39253600,3012400,952201,276301.0,227800,120300,73100,,,,,,,,,
2003-05-14,32195100,3340200,522301,206100.0,1426500,177500,36500,,,,,,,,,
2003-05-15,43879200,1187200,612301,337501.0,810300,68500,55200,,,,,,,,,
2003-05-16,38905000,3475200,459000,256501.0,703900,137800,84400,,,,,,,,,
2003-05-19,41606000,4013600,676501,128700.0,817800,69000,751100,,,,,,,,,
2003-05-20,55404600,4261000,693901,53100.0,606600,130900,559100,,,,,,,,,
2003-05-21,49333800,2802600,1339801,45900.0,1799600,83500,52700,,,,,,,,,
2003-05-22,38421800,3453000,1334401,84600.0,576200,414300,39200,,,,,,,,,
2003-05-23,26155900,1370600,632701,74700.0,690600,82200,2946200,,,,,,,,,
2003-05-27,43719200,2582600,763801,864002.0,846400,176200,63800,,,,,,,,,
2003-05-28,37727100,2116200,801601,396001.0,730500,204400,711900,,,,,,,,,
2003-05-29,50844200,4168000,594301,306901.0,508300,97800,134300,,,,,,,,,
2003-05-30,52529500,6961800,1646402,368101.0,722200,165000,32900,,,,,,,,,
2003-06-02,50305500,6354800,1393501,587701.0,478600,165700,73100,,,,,,,,,
2003-06-03,38254500,2427800,1455002,244801.0,389400,77000,43600,,,,,,,,,
2003-06-04,49360700,2709200,920101,241201.0,394100,183600,344300,,,,,,,,,
2003-06-05,46262400,2841000,1451102,509401.0,820900,61500,124600,,,,,,,,,
2003-06-06,60356800,4320000,1814102,608401.0,276800,110900,81600,,,,,,,,,
2003-06-09,37808500,3422400,904501,208800.0,282200,48800,38600,,,,,,,,,
2003-06-10,29965900,2932800,535801,233100.0,534800,65600,32100,,,,,,,,,
2003-06-11,37610200,3112200,702301,294301.0,633600,79600,191600,,,,,,,,,
2003-06-12,36442000,2266400,1860002,402301.0,315400,50100,70200,,,,,,,,,
