,SPY,IWM,EFA,EEM,TLT,IEF,LQD,HYG,GLD,SLV,DBC,USO,UUP,FXE,FXY,VNQ
2003-04-21,89.65,76.87,97.2599,104.0799,87.8,85.49,110.25,,,,,,,,,
2003-04-22,91.34,77.93,98.6699,104.4297,87.75,85.51,110.3,,,,,,,,,
2003-04-23,92.18,78.75,99.5399,104.9199,87.93,85.47,110.94,,,,,,,,,
2003-04-24,91.36,78.35,98.7599,102.8499,88.72,85.97,111.59,,,,,,,,,
2003-04-25,90.23,77.25,97.0099,101.1498,88.92,86.11,111.6,,,,,,,,,
2003-04-28,91.79,78.62,98.7299,102.8199,88.78,86.02,111.66,,,,,,,,,
2003-04-29,92.11,79.152,99.2999,105.7497,88.63,85.87,111.26,,,,,,,,,
2003-04-30,91.91,79.4,99.8099,105.4497,89.45,86.39,112.05,,,,,,,,,
2003-05-01,91.9,79.3,100.2199,105.0399,89.02,86.12,111.83,,,,,,,,,
2003-05-02,93.21,81.3,101.0899,106.6497,88.32,85.65,111.45,,,,,,,,,
2003-05-05,93.03,81.67,101.8599,107.7999,88.79,85.92,111.95,,,,,,,,,
2003-05-06,93.91,82.45,104.0099,108.3498,89.23,86.45,112.54,,,,,,,,,
2003-05-07,93.39,81.95,103.0499,108.1497,90.27,87.05,113.29,,,,,,,,,
2003-05-08,92.45,81.27,101.4999,107.1999,90.49,87.14,113.3,,,,,,,,,
2003-05-09,93.73,82.44,102.7799,108.4599,90.58,87.28,113.1,,,,,,,,,
2003-05-12,94.88,83.34,103.5999,109.9698,91.15,87.65,113.49,,,,,,,,,
2003-05-13,94.71,83.83,103.5899,109.3497,91.35,87.73,113.5,,,,,,,,,
2003-05-14,94.51,83.78,103.6199,108.7998,92.75,88.21,114.0,,,,,,,,,
2003-05-15,95.11,84.11,103.7999,109.0197,93.04,88.12,113.96,,,,,,,,,
2003-05-16,94.87,83.07,105.0799,109.0998,93.72,88.59,114.72,,,,,,,,,
2003-05-19,92.65,81.63,102.2399,106.4997,93.4,88.57,114.25,,,,,,,,,
2003-05-20,92.46,81.61,103.2599,107.0298,94.78,89.16,114.6,,,,,,,,,
2003-05-21,92.65,81.92,102.1899,107.1198,94.77,88.88,114.6,,,,,,,,,
2003-05-22,93.57,82.75,103.5599,108.0897,95.61,89.3,115.37,,,,,,,,,
2003-05-23,93.76,83.4,104.1499,109.1997,95.85,89.2,115.53,,,,,,,,,
2003-05-27,95.4,85.36,105.0499,113.1099,94.12,88.87,115.13,,,,,,,,,
2003-05-28,95.67,85.94,105.5499,113.5998,93.96,88.89,114.67,,,,,,,,,
2003-05-29,95.42,86.49,106.0499,113.7498,94.78,89.36,115.5,,,,,,,,,
2003-05-30,96.95,88.03,106.2499,115.0698,94.6,89.31,115.55,,,,,,,,,
2003-06-02,97.35,88.49,107.2399,115.8999,93.51,88.72,114.35,,,,,,,,,
2003-06-03,97.75,88.77,107.4999,115.0197,94.26,89.31,115.4,,,,,,,,,
2003-06-04,99.16,89.98,108.1499,116.4999,94.54,89.57,115.55,,,,,,,,,
2003-06-05,99.65,91.45,109.2399,116.6199,93.8,89.25,115.36,,,,,,,,,
2003-06-06,99.26,90.4,109.8999,117.7098,94.14,89.15,115.55,,,,,,,,,
2003-06-09,98.25,88.72,109.1099,116.6997,94.77,89.64,115.8,,,,,,,,,
2003-06-10,99.25,90.05,109.9899,117.8997,95.9,90.14,116.7,,,,,,,,,
2003-06-11,100.3,90.9,111.7999,117.9999,95.78,89.95,116.57,,,,,,,,,
2003-06-12,100.61,91.41,112.0999,118.8897,96.53,90.3,116.99,,,,,,,,,
2003-06-13,99.56,89.64,111.4499,118.8498,97.18,90.63,117.48,,,,,,,,,
2003-06-16,101.66,91.15,113.0799,120.1296,96.26,90.16,117.05,,,,,,,,,
2003-06-17,101.66,91.34,113.3099,122.5998,95.5,89.67,116.68,,,,,,,,,
2003-06-18,101.57,91.28,112.9899,122.1498,94.28,89.13,115.6,,,,,,,,,
2003-06-19,100.02,90.04,111.6499,122.1498,94.1,89.26,115.8,,,,,,,,,
2003-06-20,99.44,89.27,111.7999,122.1498,93.75,89.12,115.25,,,,,,,,,
2003-06-23,98.42,87.68,110.5599,119.1498,94.31,89.46,115.83,,,,,,,,,
2003-06-24,98.52,87.65,109.6899,118.2699,95.18,89.88,116.0,,,,,,,,,
2003-06-25,97.53,88.24,108.5999,119.2497,93.66,89.2,115.41,,,,,,,,,
2003-06-26,98.8,89.75,109.0999,120.5397,92.4,88.32,114.4,,,,,,,,,
2003-06-27,97.66,89.18,108.2799,119.9796,92.07,88.24,114.1,,,,,,,,,
2003-06-30,97.63,88.9,108.3099,119.8998,92.5,88.45,114.63,,,,,,,,,
2003-07-01,98.53,89.51,108.9499,121.1997,91.69,88.02,113.35,,,,,,,,,
2003-07-02,99.77,91.75,111.0999,124.0497,91.92,88.11,113.75,,,,,,,,,
2003-07-03,98.74,90.96,110.4999,124.3998,90.6,87.55,113.05,,,,,,,,,
2003-07-07,100.7,92.85,112.5299,127.4796,90.02,87.08,112.5,,,,,,,,,
2003-07-08,101.15,94.5,111.9999,127.8396,90.1,87.11,112.6,,,,,,,,,
2003-07-09,100.58,95.2,111.4199,127.5396,90.39,87.27,113.0,,,,,,,,,
2003-07-10,99.3,93.34,110.8499,125.2998,90.36,87.47,113.23,,,,,,,,,
2003-07-11,100.24,94.63,110.6099,126.3498,90.79,87.78,113.37,,,,,,,,,
2003-07-14,100.73,95.41,111.7999,128.5698,89.75,87.27,113.07,,,,,,,,,
2003-07-15,100.51,95.15,110.7499,126.9498,87.65,86.08,111.78,,,,,,,,,
2003-07-16,99.92,94.63,109.9199,127.0497,88.15,86.11,111.74,,,,,,,,,
2003-07-17,98.5,91.63,108.1999,123.7296,87.88,85.93,111.22,,,,,,,,,
2003-07-18,99.51,92.25,109.8999,125.3796,87.7,85.71,111.69,,,,,,,,,
2003-07-21,98.28,91.45,109.0599,123.7197,85.84,84.59,110.34,,,,,,,,,
2003-07-22,99.17,92.52,108.7999,125.1996,86.26,84.89,110.25,,,,,,,,,
2003-07-23,99.24,93.15,110.4099,124.3998,86.55,85.15,110.98,,,,,,,,,
2003-07-24,98.49,92.97,110.5899,124.9998,85.79,84.82,110.5,,,,,,,,,
2003-07-25,100.23,93.65,111.9799,127.0497,85.56,84.71,110.25,,,,,,,,,
2003-07-28,99.86,94.8,112.2699,127.7496,84.41,84.09,109.15,,,,,,,,,
2003-07-29,99.4,94.85,111.7999,127.0296,83.26,83.27,108.15,,,,,,,,,
2003-07-30,99.16,94.49,110.8699,126.0996,84.2,83.94,108.7,,,,,,,,,
