date,gross_return,cost,net_return,turnover,n_long,n_short,n_positions,vol_target_multiplier
2024-07-16,-0.0018837403879430092,9.6e-05,-0.001979740387943009,0.08,4,17,21,1.925998125213855
2024-07-17,-0.0015680712105822958,0.00016800000000000002,-0.0017360712105822958,0.14,9,15,24,1.927180453697446
2024-07-18,0.002425555374299773,0.00026399999999999997,0.002161555374299773,0.21999999999999997,8,13,21,1.9325629632103376
2024-07-19,0.005298621908574919,0.000192,0.005106621908574919,0.16,10,13,23,1.928373352761772
2024-07-22,-0.0007081163666272296,0.00038400000000000006,-0.0010921163666272296,0.32000000000000006,12,7,19,1.9025453785410908
2024-07-23,-0.006643164078692896,0.000288,-0.006931164078692896,0.24000000000000002,16,5,21,1.9124765404305106
2024-07-24,-0.0019822042618980545,0.000192,-0.0021742042618980544,0.16,20,5,25,1.9283527215905572
2024-07-25,0.0004533928063147009,0.00019199999999999998,0.00026139280631470093,0.15999999999999998,18,7,25,1.966997691358631
2024-07-26,0.0008576259863935844,0.00021600000000000002,0.0006416259863935844,0.18,14,10,24,1.987540033692167
2024-07-29,-0.0010761741197642708,0.00016799999999999996,-0.0012441741197642708,0.13999999999999999,11,10,21,1.9964929653018921
2024-07-30,-0.0016277596780677195,0.000144,-0.0017717596780677195,0.12,10,11,21,1.997047779852296
2024-07-31,-0.0033056948179398635,0.000288,-0.0035936948179398636,0.24,4,15,19,2.0384418494629193
2024-08-01,0.0020060197513420428,0.00033600000000000004,0.0016700197513420429,0.28,6,19,25,2.023455029735912
2024-08-02,0.007042155712123538,0.0004080000000000001,0.006634155712123537,0.3400000000000001,12,8,20,2.0180478477929817
2024-08-05,0.0058788284461078364,0.00024000000000000003,0.005638828446107837,0.2,17,3,20,1.9448424270075366
2024-08-06,-0.00489717282311865,0.000144,-0.00504117282311865,0.12,20,2,22,1.8931001352995627
2024-08-07,0.007004495916698109,0.000144,0.006860495916698109,0.12000000000000001,23,1,24,1.8649145651382633
2024-08-08,0.0028227591365389856,0.00023999999999999998,0.0025827591365389854,0.19999999999999998,20,0,20,1.8051227941561405
2024-08-09,0.0017002577575586783,0.0005520000000000001,0.0011482577575586783,0.4600000000000001,10,7,17,1.8174334211616523
2024-08-12,-0.0032552328406937384,0.000384,-0.0036392328406937386,0.32,1,14,15,1.815406404022076
2024-08-13,-0.0066133687860542665,0.00021600000000000002,-0.0068293687860542665,0.18,1,21,22,1.804650977988105
2024-08-14,-0.002274805660504456,0.00012000000000000002,-0.0023948056605044557,0.1,0,23,23,1.760946885751903
2024-08-15,-0.005064434189467178,0.0005042521561668165,-0.005568686345633994,0.42021013013901376,0,27,27,1.760420260278028
2024-08-16,-0.007497609940133604,0.00026681883294302737,-0.007764428773076632,0.22234902745252283,0,26,26,1.7320635305973529
2024-08-19,-0.0008828662744293523,5.4738281559789105e-05,-0.0009376045559891414,0.045615234633157586,0,27,27,1.680341471379852
2024-08-20,-0.0050109356202390045,0.0002633635601716513,-0.005274299180410656,0.2194696334763761,0,26,26,1.680192540888466
2024-08-21,0.008277845228431316,0.00019005170030481132,0.008087793528126505,0.15837641692067608,0,26,26,1.6658533550665737
2024-08-22,0.0006223192153909498,0.0008320639292373146,-0.0002097447138463647,0.6933866076977622,3,15,18,1.6019191353089868
2024-08-23,0.0026326606673546804,0.00021600000000000002,0.0024166606673546804,0.18000000000000002,3,20,23,1.6246536385749417
2024-08-26,-0.001973007977657615,0.000288,-0.0022610079776576152,0.24,6,15,21,1.6312982627798083
2024-08-27,0.000846832147259473,0.000264,0.000582832147259473,0.22,7,17,24,1.6397205995138122
2024-08-28,0.002108978694400498,0.00028799999999999995,0.001820978694400498,0.23999999999999996,9,15,24,1.6543654680115831
2024-08-29,0.0013703959308015155,0.00026399999999999997,0.0011063959308015155,0.21999999999999997,7,20,27,1.6518102403510349
2024-08-30,0.00015485883277491157,0.00038400000000000006,-0.0002291411672250885,0.32000000000000006,5,20,25,1.708054950315087
2024-09-03,0.0008524110293758348,0.0005040000000000001,0.00034841102937583474,0.42000000000000004,10,12,22,1.7089953747836288
2024-09-04,-2.7094580655839784e-05,0.000312,-0.0003390945806558398,0.26,13,10,23,1.7085128389644577
2024-09-05,-0.0017360813357971238,0.000192,-0.001928081335797124,0.16,15,8,23,1.7243495221024148
2024-09-06,0.0014296340705880993,0.00021600000000000002,0.0012136340705880993,0.18,18,4,22,1.724218870545005
2024-09-09,-0.002364099567146505,7.2e-05,-0.002436099567146505,0.06,18,5,23,1.7262804860665255
2024-09-10,0.004675733291314102,0.00033600000000000004,0.0043397332913141014,0.28,12,7,19,1.724975752314171
2024-09-11,-0.0029307212464441323,0.0002640000000000001,-0.0031947212464441322,0.22000000000000003,9,11,20,1.7153227349316993
2024-09-12,0.0013515820845256487,0.00021600000000000002,0.0011355820845256486,0.18,6,13,19,1.7305279047795588
2024-09-13,-0.002294718015095374,0.0002640000000000001,-0.002558718015095374,0.22000000000000003,1,17,18,1.7320215062290243
