date,gross_return,cost,net_return,turnover,n_long,n_short,n_positions,vol_target_multiplier
2024-08-13,0.003162136646639213,0.00023999999999999998,0.002922136646639213,0.19999999999999998,12,3,15,3.0
2024-08-14,-5.581942999752129e-05,0.00016799999999999996,-0.00022381942999752125,0.13999999999999999,14,2,16,3.0
2024-08-15,0.0007721777290072618,0.00019199999999999998,0.0005801777290072618,0.15999999999999998,17,5,22,3.0
2024-08-16,0.0011016046525127198,0.00012000000000000002,0.0009816046525127197,0.1,21,4,25,3.0
2024-08-19,0.003409448874957084,0.000144,0.003265448874957084,0.12,21,2,23,3.0
2024-08-20,0.0010149854059948436,0.00021600000000000002,0.0007989854059948435,0.18,18,2,20,2.9581443282787494
2024-08-21,-0.0007895500827063872,0.000144,-0.0009335500827063872,0.12000000000000001,21,3,24,2.973706076530537
2024-08-22,0.002958930029829982,0.000144,0.002814930029829982,0.12000000000000001,20,4,24,2.9701852957586365
2024-08-23,-0.0003670080634726957,0.000144,-0.0005110080634726957,0.12000000000000001,19,5,24,2.9312668587593276
2024-08-26,0.0002769455422262612,0.00021600000000000002,6.094554222626117e-05,0.18,16,3,19,3.0
2024-08-27,0.0004862498619039049,0.00016800000000000002,0.0003182498619039049,0.14,17,3,20,3.0
2024-08-28,0.00016366433869825504,0.00016800000000000002,-4.335661301744977e-06,0.14,15,4,19,3.0
2024-08-29,0.0005304874898403544,0.000144,0.0003864874898403544,0.12000000000000001,16,3,19,3.0
2024-08-30,-0.0033627502833488447,0.00016800000000000002,-0.003530750283348845,0.14,15,3,18,3.0
2024-09-03,-0.0007263999304558433,0.00021600000000000002,-0.0009423999304558434,0.18,12,3,15,3.0
2024-09-04,-0.00219802162450496,0.00019199999999999998,-0.00239002162450496,0.15999999999999998,11,6,17,3.0
2024-09-05,0.0006578764055943221,0.000144,0.000513876405594322,0.12000000000000001,12,7,19,3.0
2024-09-06,0.0008348425532407155,0.00021600000000000002,0.0006188425532407155,0.18,12,8,20,3.0
2024-09-09,0.0010160566418232907,9.6e-05,0.0009200566418232907,0.08,13,9,22,3.0
2024-09-10,-0.002549916972112763,0.00021600000000000002,-0.002765916972112763,0.18,13,10,23,3.0
2024-09-11,0.002154550508508845,0.000264,0.0018905505085088452,0.22,6,10,16,3.0
2024-09-12,-0.0010803010183396311,0.00021600000000000002,-0.0012963010183396312,0.18,8,11,19,3.0
2024-09-13,0.00021032577983493207,0.000144,6.632577983493206e-05,0.12000000000000001,9,10,19,3.0
2024-09-16,-0.002665986081626708,0.00012000000000000002,-0.002785986081626708,0.1,10,10,20,3.0
2024-09-17,0.0017783799269165403,0.00023999999999999995,0.0015383799269165404,0.19999999999999996,9,5,14,3.0
2024-09-18,-0.00013938310531140579,0.00012000000000000002,-0.00025938310531140583,0.1,13,6,19,3.0
2024-09-19,0.00198627076872399,9.6e-05,0.00189027076872399,0.08,11,8,19,3.0
2024-09-20,-0.0007043397173063701,0.000192,-0.0008963397173063701,0.16,13,10,23,3.0
2024-09-23,-0.0033235074314663573,0.00024000000000000003,-0.0035635074314663575,0.2,10,9,19,3.0
2024-09-24,0.001282144487123504,0.000288,0.0009941444871235038,0.24,12,9,21,3.0
2024-09-25,-0.0002402354866155188,0.00023999999999999998,-0.0004802354866155188,0.19999999999999998,10,5,15,3.0
2024-09-26,-0.0004075698626608284,0.00031199999999999994,-0.0007195698626608284,0.25999999999999995,11,3,14,3.0
2024-09-27,-0.0011408462082556261,0.00021599999999999996,-0.0013568462082556262,0.17999999999999997,12,5,17,3.0
2024-09-30,-0.0030343051896065815,7.2e-05,-0.0031063051896065815,0.06,11,7,18,3.0
2024-10-01,9.612303497178691e-05,0.00033600000000000004,-0.00023987696502821313,0.28,11,5,16,3.0
2024-10-02,0.0008760556467058576,0.00023999999999999998,0.0006360556467058577,0.19999999999999998,14,4,18,3.0
2024-10-03,0.001227565922995464,0.000192,0.001035565922995464,0.16,13,7,20,3.0
2024-10-04,-6.13368851015395e-05,0.000192,-0.00025333688510153953,0.16,9,7,16,3.0
2024-10-07,-0.00230534873101478,0.000144,-0.00244934873101478,0.12,11,9,20,3.0
2024-10-08,-2.9634212045928188e-05,9.6e-05,-0.0001256342120459282,0.08,9,9,18,3.0
2024-10-09,-0.0001923741796838054,0.000192,-0.0003843741796838054,0.16,10,8,18,3.0
2024-10-10,-0.00011074012334579387,0.00016800000000000002,-0.0002787401233457939,0.14,9,8,17,3.0
2024-10-11,0.0009182899324895533,0.00023999999999999998,0.0006782899324895533,0.19999999999999998,12,5,17,3.0
2024-10-14,-0.0009927633417590909,0.00021599999999999996,-0.001208763341759091,0.17999999999999997,13,3,16,3.0
2024-10-15,0.0016434284963606149,0.00021599999999999996,0.0014274284963606148,0.17999999999999997,16,5,21,3.0
2024-10-16,-0.0020144701950774403,0.00012000000000000002,-0.00213447019507744,0.1,17,3,20,3.0
2024-10-17,-0.0006436483631686431,0.00012000000000000002,-0.0007636483631686431,0.1,19,4,23,3.0
2024-10-18,-0.00479201377395605,0.000192,-0.00498401377395605,0.16,19,2,21,3.0
2024-10-21,0.0005978392999130123,0.00033600000000000004,0.0002618392999130122,0.28,11,4,15,3.0
