date,L,rho_bar,absorption_ratio,index_vol
2006-08-18,0.0,0.6424589667783196,0.8386307136891028,0.13279143583576586
2006-08-25,0.0,0.6293939756169533,0.8316938026304372,0.12724966157342088
2006-09-01,0.0,0.6163289844555869,0.8247568915717717,0.12170788731107593
2006-09-08,0.0,0.6066797349506083,0.8223746407078871,0.11938395482046293
2006-09-15,0.0,0.5897771215062633,0.816955843230464,0.11491755649867019
2006-09-22,0.0,0.5463003305211893,0.8064149469803017,0.10776368817813133
2006-09-29,0.0,0.5012548990524569,0.7987475795411845,0.1018306304447131
2006-10-06,0.0,0.4654710194892727,0.7868630356614628,0.09741363783748366
2006-10-13,0.0004177689552307129,0.42762057379318363,0.7723553473003693,0.08937886449957819
2006-10-20,0.010161757469177246,0.3952836779494009,0.7533436849606313,0.08208392805647163
2006-10-27,0.009743988513946533,0.348636805619887,0.73262822265173,0.07451455272476948
2006-11-03,0.009743988513946533,0.32656644572868104,0.7250768576594699,0.06874337614339193
2006-11-10,0.0,0.3222891248419636,0.7200663710011075,0.06762398432572295
2006-11-17,0.0,0.30401845858195664,0.70707461658377,0.06710594067493394
2006-11-24,0.0,0.28391029775180326,0.6945933425025659,0.06668214760623106
2006-12-01,0.0012063980102539062,0.28391029775180326,0.6930248401448504,0.06668214760623106
2006-12-08,0.008723139762878418,0.286248260137066,0.6868567776629895,0.06926510570596137
2006-12-15,0.008723139762878418,0.30014915218335314,0.6771048700435227,0.07188273195390796
2006-12-22,0.007516741752624512,0.3118736622863158,0.6752635214561313,0.07188273195390796
2006-12-29,0.010193288326263428,0.32224875408698966,0.6733656936935477,0.07159418368759798
2007-01-05,0.017386913299560547,0.3323857552861911,0.6744182061457663,0.07159418368759798
2007-01-12,0.057240426540374756,0.3323857552861911,0.6760820797085177,0.071801831161297
2007-01-19,0.08301860094070435,0.3310428549373572,0.6758201725460886,0.07245813701664916
2007-01-26,0.08301860094070435,0.3310428549373572,0.6764061012189704,0.07279442397331898
2007-02-02,0.08013755083084106,0.3326446781883936,0.6778841435884839,0.07506814021668787
2007-02-09,0.05543404817581177,0.3448075456511989,0.6802557644280175,0.07629501560154864
2007-02-16,0.03621095418930054,0.3609427382954624,0.6830922795690239,0.07706635098421595
2007-02-23,0.020357340574264526,0.3841549187324995,0.6884015763335309,0.07696546601263837
2007-03-02,0.015918195247650146,0.399350299123693,0.6926930545548631,0.07696546601263837
2007-03-09,0.0035073459148406982,0.4734671605789068,0.751244558112394,0.09477568913965115
2007-03-16,0.0018957555294036865,0.5618750120896415,0.8170177560947928,0.11580111249974957
2007-03-23,0.0,0.5889822970040035,0.8318768787744826,0.12216128903899746
2007-03-30,0.0,0.6085023263007454,0.8402953500399689,0.1281689380050627
2007-04-05,0.0,0.6212707519957477,0.8402953500399689,0.1312547925758742
2007-04-13,0.0,0.6283367885289715,0.8397614639280163,0.1312547925758742
2007-04-20,0.008682459592819214,0.6354048071244804,0.8343888781453126,0.1312547925758742
2007-04-27,0.02439439296722412,0.6384727810103754,0.8303620717679427,0.13123288076792122
2007-05-04,0.039483338594436646,0.6434558025096728,0.8280780820687483,0.13153354160338268
2007-05-11,0.039483338594436646,0.6477547836979731,0.8261957538430278,0.1321315815209638
2007-05-18,0.03781270980834961,0.6517566792988074,0.8261957538430278,0.1321597413771371
2007-05-25,0.014041304588317871,0.6517566792988074,0.8261957538430278,0.1321597413771371
2007-06-01,0.0,0.6189970121113375,0.8057115449497626,0.11803169617346576
2007-06-08,0.0,0.5645437842376493,0.7747190829571544,0.10012081358648875
2007-06-15,0.0033974647521972656,0.5545449549102119,0.7657350867925243,0.09650433082870294
2007-06-22,0.013150900602340698,0.5545449549102119,0.7657350867925243,0.09650433082870294
2007-06-29,0.021087586879730225,0.5691945363466834,0.7687373537310359,0.09949946130934632
2007-07-06,0.015334933996200562,0.5860275413230742,0.774871098460014,0.10487860251413761
2007-07-13,0.015334933996200562,0.599781132433048,0.7827425666611731,0.10796681082850641
2007-07-20,0.015334933996200562,0.6198082080995175,0.7967502743280231,0.11206523203125526
2007-07-27,0.020159631967544556,0.6384135728962717,0.8103635386447725,0.11579536828092203
2007-08-03,0.02197897434234619,0.6660163540209033,0.8290948802083075,0.12583850630195478
2007-08-10,0.02197897434234619,0.697112781011871,0.8514141960120587,0.14348995906588302
2007-08-17,0.009730428457260132,0.697112781011871,0.8615830773987054,0.15991361773382795
2007-08-24,0.009730428457260132,0.6962349503239303,0.8698531474057029,0.17302242331116702
2007-08-31,0.01678285002708435,0.6953961221082757,0.874363014321175,0.17843018891610557
2007-09-07,0.01678285002708435,0.6916857198823101,0.874363014321175,0.18181155109081312
2007-09-14,0.016707658767700195,0.6930874597559886,0.8739174362449206,0.1839780662362523
2007-09-21,0.01234745979309082,0.6971696969231898,0.875923914996964,0.18524100812324917
2007-09-28,0.01234745979309082,0.6957953000501105,0.8736652945947891,0.18685153469614202
2007-10-05,0.023669183254241943,0.6954234651088751,0.8736652945947891,0.18787606713796676
2007-10-12,0.027891874313354492,0.691242955852658,0.8702680690072611,0.1887082278236546
2007-10-19,0.033496320247650146,0.6842667789085635,0.8664969088161892,0.18728500285075284
2007-10-26,0.027891874313354492,0.6761219056575248,0.862839818539973,0.18645284216506497
2007-11-02,0.02823731303215027,0.6598216611362449,0.8532780604823359,0.182780855196191
2007-11-09,0.03384175896644592,0.6517388284839085,0.8443767506284616,0.17471265339176184
2007-11-16,0.024548977613449097,0.6489099814727632,0.8443767506284616,0.17471265339176184
2007-11-23,0.024548977613449097,0.6385922623607707,0.8440322415578784,0.1740515868552903
2007-11-30,0.02037227153778076,0.642786808803852,0.8497528092608617,0.17867914719728828
2007-12-07,0.009046703577041626,0.6338599635079177,0.8514037272815096,0.18692369394462438
2007-12-14,0.0034616589546203613,0.6304498077971207,0.850281017177759,0.19536766302006145
2007-12-21,0.0034616589546203613,0.6349258658370843,0.8504964597030982,0.1972170181466663
2007-12-28,0.0,0.6349258658370843,0.8504964597030982,0.20009993050848227
2008-01-04,0.0,0.6360242420229,0.8537861939877255,0.2026478567664779
2008-01-11,0.0,0.6360242420229,0.8581817623622148,0.20489244656977185
2008-01-18,0.024011224508285522,0.6293902063436552,0.8602988191977305,0.20839657771113496
2008-01-25,0.024011224508285522,0.618580663729194,0.8611067510878052,0.21223106993502616
2008-02-01,0.024660617113113403,0.5972882688658222,0.8613594819954298,0.21813161868243403
2008-02-08,0.019686073064804077,0.5824167914519398,0.8618217775582648,0.22273105276513944
2008-02-15,0.019686073064804077,0.5810862629530865,0.8617878239544544,0.22273105276513944
2008-02-22,0.038309186697006226,0.5703017384532658,0.8571283781800183,0.21876918814521523
2008-02-29,0.038309186697006226,0.5488009885521326,0.8476455834297518,0.208284954558727
2008-03-07,0.03087395429611206,0.5350558120411713,0.8421872367290817,0.19958517908574036
2008-03-14,0.01386570930480957,0.5350558120411713,0.8421872367290817,0.19896009408835508
2008-03-20,0.0037745535373687744,0.5393731538600892,0.8445918693780194,0.19896009408835508
2008-03-28,0.0015102922916412354,0.5481479742437099,0.854642301551287,0.213614422259415
2008-04-04,0.0037745535373687744,0.5537123499812906,0.862232273226082,0.22768030448855386
2008-04-11,0.002452641725540161,0.5537123499812906,0.862232273226082,0.2298756329751946
2008-04-18,0.006371200084686279,0.5549326409641774,0.8604790361888323,0.2298756329751946
2008-04-25,0.006371200084686279,0.5635900514469309,0.8536901203329317,0.22688620469506787
2008-05-02,0.00563502311706543,0.5584687460005757,0.8466710278516967,0.22112325157975607
2008-05-09,0.010121524333953857,0.5591806070346105,0.8466710278516967,0.21410266308556553
2008-05-16,0.01001197099685669,0.5525797381375332,0.849582197266129,0.2098519173904986
2008-05-23,0.01001197099685669,0.5525797381375332,0.8523160958773127,0.2098519173904986
2008-05-30,0.005972713232040405,0.5525797381375332,0.8558828857935239,0.2098519173904986
2008-06-06,0.0006534159183502197,0.5472652799633886,0.8562582133712839,0.20893628155127672
2008-06-13,0.0006534159183502197,0.5226575828401827,0.8562582133712839,0.20532811735268963
2008-06-20,0.00499880313873291,0.4716791079484458,0.8442135824466329,0.1904933628663833
2008-06-27,0.015086352825164795,0.4361866562260271,0.8326377597145358,0.17519846979410447
2008-07-03,0.016286194324493408,0.42159991841378364,0.8320820753879721,0.1705044200178978
2008-07-11,0.018837571144104004,0.40428733995373967,0.8307895150824769,0.16706917360603632
2008-07-18,0.018837571144104004,0.38216848914632234,0.8312672163549448,0.16706917360603632
2008-07-25,0.026214420795440674,0.35004758278114106,0.8324332765153483,0.172745043870206
2008-08-01,0.042820483446121216,0.33227250164766464,0.8320630417302926,0.17935485682198476
2008-08-08,0.045477211475372314,0.33069208517563564,0.832660771005292,0.1837264926129477
2008-08-15,0.04084116220474243,0.3255099571159211,0.8355275135269842,0.19191993411897967
2008-08-22,0.04084116220474243,0.3214184281173429,0.8390302696112886,0.19904758054174934
2008-08-29,0.026459097862243652,0.31106835729808935,0.8404254040051736,0.20033455859163624
2008-09-05,0.014572381973266602,0.30863361549859275,0.8463753093145052,0.20045880076392247
2008-09-12,0.014572381973266602,0.30863361549859275,0.8553456341005498,0.20193274751505577
2008-09-19,0.010123878717422485,0.3279663009345666,0.8587080500962068,0.20830024240897227
2008-09-26,0.032066673040390015,0.39102269565986936,0.8594165847869839,0.24357667446185027
2008-10-03,0.0369989275932312,0.437607884912163,0.8616848735203843,0.27447207401828
2008-10-10,0.0369989275932312,0.48652653702646675,0.8715319611185668,0.30610679788037376
2008-10-17,0.05853721499443054,0.5563964847015617,0.8889426900375723,0.36202200686016944
2008-10-24,0.05359715223312378,0.6181654148576825,0.9032881481152095,0.4591079808197304
2008-10-31,0.0762370228767395,0.6649791817940918,0.9108935764442058,0.5471947950219199
2008-11-07,0.08050841093063354,0.6867170924078188,0.9124225588476718,0.5901343047212626
2008-11-14,0.10662554204463959,0.7080923033156976,0.9114943052181189,0.6273656448942206
2008-11-21,0.1265006959438324,0.7276428172753169,0.9067817222315729,0.6514478847086809
2008-11-28,0.1265006959438324,0.7425628598552889,0.9008579242826608,0.6826717658845103
2008-12-05,0.1167387068271637,0.751083120672547,0.9008579242826608,0.7112990002355122
2008-12-12,0.07679669559001923,0.7620294793811133,0.9039077465945488,0.732979186959974
2008-12-19,0.059265583753585815,0.7691120727687883,0.9066419865417609,0.743370336010351
2008-12-26,0.059265583753585815,0.7711058691376156,0.9090130444869885,0.743370336010351
2009-01-02,0.05485101044178009,0.7707976865494233,0.9114246490790144,0.7319122544386156
2009-01-09,0.05001296103000641,0.7728188259797522,0.9123032704525251,0.7154373812547943
2009-01-16,0.029248937964439392,0.7763876327932102,0.9138694874828719,0.6724524542542767
2009-01-23,0.029248937964439392,0.7807312931970884,0.9146847041564972,0.6082001479234109
2009-01-30,0.03630353510379791,0.7807312931970884,0.9146847041564972,0.5778212801128726
2009-02-06,0.06859929859638214,0.7799556748306983,0.9126988714786061,0.552571930526057
2009-02-13,0.09864541888237,0.774051193092882,0.9090314032902618,0.5190936675569485
2009-02-20,0.09864541888237,0.7565980822132985,0.9033336646924928,0.4916516957131655
