strategy,is_start,is_sharpe,is_ann_return,is_maxdd,is_n,oos_sharpe,oos_ann_return,oos_maxdd,oos_n
primary (H1),2006-08-18,-0.43821176819330226,-0.018825504746984745,-0.24757401641401422,594,-0.18063801528744375,-0.021602833821875778,-0.3089311868269229,449
mirror,2006-08-18,-0.31742725251220777,-0.016500109972759414,-0.2496326819598198,594,0.4461649280359244,0.015235241334694338,-0.05040244828250939,449
always_on,2006-08-18,-0.10977098936725464,-0.01621797000803815,-0.43151673670872304,594,-0.014964829629279941,-0.006696716873970887,-0.2553064173563524,449
twin:rho_bar,2006-08-18,-0.017630677718482826,-0.0012665000355254197,-0.12020398087590112,594,0.6332876418737801,0.0350222637296993,-0.050805967754197434,449
twin:absorption_ratio,2006-08-18,-0.4116510021863692,-0.01780277633875349,-0.2361790392945723,594,0.7427062734646673,0.050095820399193025,-0.07957348513435825,449
twin:index_vol,2006-08-18,-0.11716054990735271,-0.004242349572476822,-0.13313578054697406,594,0.6075252122638115,0.04597128204565948,-0.18599725216426954,449
