date,L,n_h1_features,rho_bar,absorption_ratio,index_vol,n_assets
2006-08-18,0.0,0,0.6424589667783196,0.8386307136891028,0.13279143583576586,15
2006-08-25,0.0,0,0.6163289844555869,0.8247568915717717,0.12170788731107593,15
2006-09-01,0.0,0,0.5970304854456296,0.8199923898440026,0.11706002232984995,15
2006-09-08,0.0,0,0.582523757566897,0.8139192966169255,0.11277509066749043,15
2006-09-15,0.0,0,0.5100769034754817,0.798584561738691,0.10275228568877222,15
2006-09-22,0.0,0,0.49243289462943207,0.798910597343678,0.10090897520065398,15
2006-09-29,0.0008355379104614258,1,0.43850914434911337,0.7751415095842344,0.09391830047431336,15
2006-10-06,0.0,0,0.41673200323725396,0.7695691850165042,0.08483942852484302,15
2006-10-13,0.02506232261657715,1,0.37383535266154777,0.7371181849047584,0.07932842758810026,15
2006-10-20,0.019487977027893066,1,0.3234382585782263,0.7281382603987014,0.0697006778614387,15
2006-10-27,0.0,0,0.32113999110570096,0.7181172870819766,0.06746189422610072,15
2006-11-03,0.0,0,0.3296946328791358,0.7220154549202383,0.06778607442534518,15
2006-11-10,0.0,0,0.2868969260582123,0.6931547389195684,0.06674998712376716,15
2006-11-17,0.0,0,0.2809236694453942,0.6960319460855634,0.06604064959820301,15
2006-11-24,0.0024127960205078125,1,0.2734894177669867,0.6808186139558465,0.06661430808869498,15
2006-12-01,0.015033483505249023,1,0.2915728508287378,0.6928949413701325,0.07191590332322774,15
2006-12-08,0.020386576652526855,1,0.30872545353796854,0.6733911261311989,0.07198556990096439,15
2006-12-15,0.0,0,0.31502187103466306,0.6616528132581024,0.07184956058458816,15
2006-12-22,0.0,0,0.32947563713931627,0.6771359167810637,0.07133880679060782,15
2006-12-29,0.034773826599121094,1,0.34125988177325767,0.6733402612558965,0.06983511390360031,15
2007-01-05,0.07970702648162842,1,0.3352958734330659,0.6754961510356361,0.07226485553198618,15
2007-01-12,0.08633017539978027,2,0.32495034114560667,0.6766680083813994,0.07265141850131214,15
2007-01-19,0.08822381496429443,1,0.32678983644164855,0.6761441940565412,0.07293742944532582,15
2007-01-26,0.035498738288879395,1,0.3384995199351386,0.6814112500604665,0.07719885098804993,15
2007-02-02,0.07394492626190186,3,0.35111557136725924,0.6791002787955684,0.07753192605487613,15
2007-02-09,0.03692317008972168,1,0.37076990522366565,0.6847733090775812,0.07539118021504733,15
2007-02-16,0.0032231807708740234,1,0.40116066600605277,0.6920298435894806,0.07693385098038197,15
2007-02-23,0.003791511058807373,1,0.3975399322413333,0.6933562655202454,0.07699708104489476,15
2007-03-02,0.02804487943649292,2,0.5457736551517608,0.8091328507045425,0.11255429723440755,17
2007-03-09,0.0,0,0.5779763690275223,0.824902661485043,0.1190479277650916,17
2007-03-16,0.0,0,0.5999882249804848,0.8388510960639222,0.12527465031290333,17
2007-03-23,0.0,0,0.6170164276210062,0.8421420329255744,0.13160028630787657,17
2007-03-30,0.0,0,0.6255250763704892,0.8417396040160157,0.1310632256972221,17
2007-04-05,0.0,0,0.6311485006874539,0.837783323840017,0.13144635945452626,17
2007-04-13,0.017364919185638428,1,0.6396611135615071,0.8309944324506081,0.13101940208131616,17
2007-04-20,0.031423866748809814,1,0.6472504914578384,0.8297297110852774,0.1322154819164784,18
2007-04-27,0.04754281044006348,2,0.6372844484592437,0.8244860911907559,0.1302211856195414,18
2007-05-04,0.05506312847137451,2,0.6482590759381079,0.8264264530522192,0.1320476811254492,18
2007-05-11,0.028082609176635742,1,0.6552542826595068,0.8259650546338365,0.13227180162882496,18
2007-05-18,0.0,0,0.6607839765103107,0.8278083449933692,0.1340207647928482,18
2007-05-25,0.0,0,0.5827397415631682,0.7854580352656887,0.10379159071810656,17
2007-06-01,0.0,0,0.5214829848324477,0.7545741813122484,0.09251775715688165,17
2007-06-08,0.019506871700286865,2,0.5463478269121304,0.76398013064862,0.09645003645487092,17
2007-06-15,0.006794929504394531,1,0.5627420829082934,0.7674900429364285,0.09655862520253496,17
2007-06-22,0.024652063846588135,1,0.5756469897850733,0.7699846645256433,0.10244029741615769,17
2007-06-29,0.022668302059173584,3,0.5964080928610751,0.7797575323943848,0.10731690761211753,17
2007-07-06,0.008001565933227539,1,0.603154172005021,0.7857276009279613,0.1086167140448953,17
2007-07-13,0.0,0,0.6403649015985292,0.807772947728085,0.11607698654422885,17
2007-07-20,0.03231769800186157,1,0.6364622441940141,0.81295412956146,0.11551375001761521,18
2007-07-27,0.03867697715759277,1,0.6916678064432774,0.845235630855155,0.13560002605968072,19
2007-08-03,0.01164025068283081,1,0.709634741705516,0.8575927611689625,0.15137989207208535,19
