id,kind,corr_window,upper,lower,formation_days,direction,returns_key,n_obs,mean_period_return,annualized_return,annualized_vol,sharpe,sortino,max_drawdown,skew,kurtosis,hit_rate
base_cw60_p50_f5_primary,base,60,50.0,30.0,5,primary,base_cw60_p50_f5_primary,1750,-0.0002164884616492054,-0.01284108438935061,0.05766321263903042,-0.19522672238589253,-0.12143951735978566,-0.42470156684902094,-0.24940855150564809,20.643308418033087,0.18628571428571428
base_cw60_p50_f5_mirror,base,60,50.0,30.0,5,mirror,base_cw60_p50_f5_mirror,1750,-1.0335533621807977e-05,-0.0008974736443623232,0.026866827590256,-0.020004138803828668,-0.00688498286116874,-0.20905347876813585,0.4642872395588076,51.61351547403998,0.05771428571428571
base_cw60_p50_f10_primary,base,60,50.0,30.0,10,primary,base_cw60_p50_f10_primary,1750,-0.00026728199589776217,-0.015552341465987385,0.05926349973973271,-0.23452316936600673,-0.13888910804073692,-0.4728150158922442,-1.6513401330635697,33.690146375173484,0.18514285714285714
base_cw60_p50_f10_mirror,base,60,50.0,30.0,10,mirror,base_cw60_p50_f10_mirror,1750,2.153854758868535e-05,0.0007802929202160858,0.026110612774726445,0.042894607042533194,0.014613962145491727,-0.18375639319038561,1.0137516823131085,75.09944087017111,0.061142857142857145
base_cw60_p60_f5_primary,base,60,60.0,40.0,5,primary,base_cw60_p60_f5_primary,1750,-0.0002036210029831825,-0.01198188028136904,0.05405849976632751,-0.19586729563147862,-0.11574466231605997,-0.4098314528512986,-0.39744516541808206,24.917737161737207,0.16685714285714287
base_cw60_p60_f5_mirror,base,60,60.0,40.0,5,mirror,base_cw60_p60_f5_mirror,1750,-2.3202992287830912e-05,-0.0017663170165709285,0.033538186074553174,-0.035975577101430414,-0.014212740485197682,-0.27403452511445403,0.5745258371837425,33.4170298645531,0.07714285714285714
base_cw60_p60_f10_primary,base,60,60.0,40.0,10,primary,base_cw60_p60_f10_primary,1750,-0.000306137516183926,-0.01740890010185836,0.05696021058974761,-0.2794784407701869,-0.15713540605007287,-0.49783137532696753,-1.9010109132436903,38.815000152521,0.164
base_cw60_p60_f10_mirror,base,60,60.0,40.0,10,mirror,base_cw60_p60_f10_mirror,1750,6.039406787484912e-05,0.002671219161684446,0.03079181746626703,0.10199110633637058,0.04007025934445553,-0.18630431963142768,0.8874903719740505,46.043802101346145,0.08228571428571428
base_cw60_p70_f5_primary,base,60,70.0,50.0,5,primary,base_cw60_p70_f5_primary,1750,-0.00021656002307985487,-0.012520946774952413,0.051644047433510414,-0.21805264613798292,-0.12044364894853503,-0.42642305653421764,-0.512878667160593,29.046442824433058,0.1457142857142857
base_cw60_p70_f5_mirror,base,60,70.0,50.0,5,mirror,base_cw60_p70_f5_mirror,1750,-1.0263972191158496e-05,-0.00122137955232271,0.037145165844609515,-0.014368667949229141,-0.006461526726612322,-0.2869756316476032,0.5637905007599401,25.410577401082655,0.09828571428571428
