K,ridge,quantile,align,n_trig,n_trades,net_mean_2bp,hit_rate,sharpe_event_2bp
2,0.1,0.9,0.5,12,12,0.0010187796865352044,0.6666666666666666,0.23396425587833997
2,0.1,0.95,0.5,9,9,0.0013490693698803046,0.6666666666666666,0.31521627091691906
5,0.1,0.9,0.5,9,9,-0.005003032314909972,0.2222222222222222,-0.5618994979354871
5,0.1,0.95,0.5,8,8,-0.005222164886352187,0.25,-0.5501320344532399
2,0.05,0.9,0.5,7,7,0.001540623981888605,0.5714285714285714,0.29106284864261484
3,0.1,0.9,0.5,6,6,0.00013596108424149234,0.5,0.08396891826012101
2,0.05,0.95,0.5,6,6,0.0014898979498122588,0.5,0.2570370148572728
3,0.05,0.9,0.5,5,5,-0.00018189205522947243,0.6,-0.12496467977814363
