,SPY,QQQ,IWM,IJH,VTI,VUG,EFA,EEM,VEA,VWO,XLF,XLK,XLE,XLI,XLY,XLP,XLV,XLU,XLB,XLRE,XLC,SMH,XBI,KRE,XRT,IYT,TLT,IEF,SHY,LQD,HYG,TIP,MUB,AGG,EMB,UUP,FXE,FXY,VNQ,DBC
2003-02-19,31432000,45587000,4073800,210000,652600,,2189702,,,,1223737,1064400,104600,52600,66000,152300,110400,1499800,98600,,,10190400,,,,,62100,34600,76800,27200,,,,,,,,,,
2003-02-20,29280100,59929199,2898200,257000,51400,,250800,,,,692191,960800,802200,138700,56400,64100,20200,797200,371400,,,9377600,,,,,486700,59400,50000,164900,,,,,,,,,,
2003-02-21,60955800,70289102,2668800,253000,643000,,1104001,,,,1303260,916600,4496000,177500,155200,18900,60800,633600,136400,,,11118000,,,,,250400,21500,76400,81200,,,,,,,,,,
2003-02-24,30628600,56669301,2530000,329000,316800,,694801,,,,992309,1383600,872800,103300,73600,52900,31400,1722800,101200,,,11133000,,,,,168200,47000,103100,125200,,,,,,,,,,
2003-02-25,56770600,74580797,2659400,735000,209600,,1611002,,,,970767,882800,883000,281500,197200,179500,27400,1316400,100200,,,12123400,,,,,358500,72800,84200,163800,,,,,,,,,,
2003-02-26,37787200,60114801,1955600,139000,1423800,,1377601,,,,534254,1415000,651600,341100,168200,17900,27400,1510000,1226600,,,10583400,,,,,334000,52900,151800,32300,,,,,,,,,,
2003-02-27,51126000,66507898,2940800,204000,44200,,1026001,,,,1912728,1917200,567600,76000,153000,160800,9900,1273200,215200,,,16654200,,,,,695700,209300,57400,89700,,,,,,,,,,
2003-02-28,43666800,50595199,1458600,203000,152600,,909301,,,,3912487,1853200,445800,38900,106000,99300,35200,1975000,712600,,,15992200,,,,,213300,80700,57100,81200,,,,,,,,,,
2003-03-03,42923100,60428199,2962200,322000,55200,,718201,,,,990340,1388800,253400,155500,96400,96400,416900,427400,948800,,,16419800,,,,,204100,24800,47900,196700,,,,,,,,,,
2003-03-04,31440500,56064699,1724800,1431000,80600,,1403701,,,,252109,712200,3145400,26500,102800,190300,23300,625200,428800,,,11740000,,,,,83100,41100,51400,96400,,,,,,,,,,
2003-03-05,43974700,69189398,1838200,155000,66800,,746701,,,,566260,776000,826600,851400,177200,374600,143200,479000,266600,,,10884600,,,,,126000,50500,60200,23900,,,,,,,,,,
2003-03-06,41217700,59503500,1848200,240000,603400,,765301,,,,918080,1019600,306800,576300,125200,184500,83300,871200,262600,,,10433800,,,,,166000,83600,69100,48000,,,,,,,,,,
2003-03-07,63538000,73309797,2813200,856000,557200,,711001,,,,689606,1616800,2526800,1321300,127600,304200,49300,842800,105000,,,11418000,,,,,263800,79800,149300,28400,,,,,,,,,,
2003-03-10,41014100,55967898,2209200,795000,376600,,1649402,,,,2397373,767800,807400,144700,202400,464200,161000,1979400,265000,,,5567600,,,,,147200,58500,64900,48600,,,,,,,,,,
2003-03-11,48102700,54939699,2102800,1016000,1562800,,1033501,,,,3654347,697200,106800,39300,2966000,105400,34600,1734000,551000,,,5275000,,,,,82800,61200,75400,49700,,,,,,,,,,
2003-03-12,62459800,77899703,4736200,649000,1267400,,1614602,,,,5844542,884000,6548800,77700,2699800,196900,59700,546600,290000,,,12956200,,,,,454800,51600,59800,139500,,,,,,,,,,
2003-03-13,72117800,128494602,3975600,252000,1664000,,2728803,,,,3621356,2896200,1700800,926400,553200,135400,27400,858400,153400,,,23262000,,,,,830200,326900,68100,190500,,,,,,,,,,
2003-03-14,63951800,89815203,3235600,1077000,1613400,,1962302,,,,1992866,2836600,1989800,518600,575200,187000,408900,845200,940800,,,13681200,,,,,590900,50800,338700,212800,,,,,,,,,,
2003-03-17,88217500,141133297,2270200,691000,2038000,,2464203,,,,2146864,5973400,1367600,375400,2078400,335100,315000,920600,538200,,,18205000,,,,,724400,98700,133700,502800,,,,,,,,,,
2003-03-18,50792300,97139906,3548000,853000,993000,,4454405,,,,1622458,2887400,973400,627000,755200,350600,68800,1044600,5361200,,,13591200,,,,,415200,203900,126800,1098700,,,,,,,,,,
2003-03-19,49630800,91315102,3538600,1007000,2032200,,1033801,,,,2116705,2966600,834600,78900,275600,660500,39400,627800,66200,,,13144800,,,,,398400,152800,62700,869800,,,,,,,,,,
2003-03-20,67321600,92825508,4423200,265000,557400,,1044001,,,,1225337,1280400,2105000,1269900,1154800,925700,106100,1068600,86000,,,12436000,,,,,206700,170600,93200,44700,,,,,,,,,,
2003-03-21,71165300,93395203,7680000,495000,768200,,2088602,,,,1205026,3290600,220200,179500,434800,158400,50900,1209200,137000,,,13358000,,,,,843400,148800,131400,142200,,,,,,,,,,
2003-03-24,65398900,85267102,5340800,591000,835800,,1530902,,,,940853,1847400,1154800,335600,111000,273700,56400,574800,124200,,,16662800,,,,,373800,45800,54800,123000,,,,,,,,,,
2003-03-25,61040100,78758102,2976600,290000,448600,,1936502,,,,1822619,1304000,772800,120200,68000,286800,68300,637800,153000,,,15853200,,,,,606400,107500,31000,30700,,,,,,,,,,
2003-03-26,45740800,67960398,2660600,255000,306400,,916501,,,,1738541,2671200,720200,893400,410600,398400,193000,815600,1176200,,,7932400,,,,,309500,75400,62600,129600,,,,,,,,,,
2003-03-27,53120200,64180801,1205600,193000,258800,,485101,,,,287562,1021400,1686600,825600,65600,996500,93400,1173200,1113200,,,11063000,,,,,191600,45800,47700,54600,,,,,,,,,,
2003-03-28,32583000,45382000,2776000,449000,132200,,1169101,,,,902569,845400,829600,143000,126400,296500,235800,589000,143800,,,9137400,,,,,253400,144700,88700,650500,,,,,,,,,,
2003-03-31,61119500,89384703,1859200,251000,661000,,1401901,,,,820215,2439200,871200,169700,1762200,94500,203500,617200,535400,,,18820400,,,,,643800,99300,86900,59000,,,,,,,,,,
2003-04-01,53574000,73220508,2088800,509000,404200,,1181401,,,,624609,1305200,661400,94300,2010200,332800,197100,992400,1801600,,,8526200,,,,,289800,36500,41300,94500,,,,,,,,,,
2003-04-02,50431200,75908000,2799400,286000,564600,,2012402,,,,1872351,3119000,651200,369100,1336600,883700,27000,1286200,262800,,,14498400,,,,,312200,147400,171700,155700,,,,,,,,,,
2003-04-03,48755500,70941305,3017200,321000,314600,,1245901,,,,1878875,2762600,2745000,248100,2709600,335000,466700,848600,998600,,,8224400,,,,,245600,170400,298000,31200,,,,,,,,,,
2003-04-04,36250100,65730398,1385600,279000,284400,,621601,,,,1319878,798200,284600,79200,260600,333300,114600,487200,98800,,,10264800,,,,,184900,26400,71700,680000,,,,,,,,,,
2003-04-07,69776200,83852906,3368400,551000,559000,,1147801,,,,7264747,1554400,545200,100200,130600,79800,70100,628800,146400,,,10181400,,,,,485400,62300,83600,61800,,,,,,,,,,
2003-04-08,39712700,54266602,2013600,665000,207600,,487501,,,,676558,2225200,447800,179000,133600,65200,64000,616000,54800,,,15989200,,,,,194700,41500,116800,377400,,,,,,,,,,
2003-04-09,55647300,76508906,4016000,640000,3984000,,2949303,,,,1120456,2548200,797200,198800,555200,250000,185200,790600,1260200,,,12166400,,,,,102400,101000,164800,31500,,,,,,,,,,
2003-04-10,41812400,57179301,1569000,193000,176200,,639301,,,,781193,1067400,1190800,383100,89200,357200,33300,384400,474800,,,10779600,,,,,53300,77900,32100,795300,,,,,,,,,,
2003-04-11,47730100,67980906,1953200,346000,247800,,327900,108900.0,,,1569279,1287600,88600,180600,666600,124500,47600,485800,122800,,,8952600,,,,,450000,102800,270100,106100,,,,,,,,,,
2003-04-14,36711700,53422602,1662400,666000,239000,,1698602,93600.0,,,1383521,1347200,502600,120000,294200,437500,26900,823800,75400,,,8986800,,,,,207100,107700,261700,145200,,,,,,,,,,
2003-04-15,49709800,64213801,1252600,242000,203000,,1128901,421201.0,,,944546,706400,271800,534800,850600,203400,400200,681600,1719400,,,12319400,,,,,128500,27600,91500,824100,,,,,,,,,,
2003-04-16,51788000,70725906,2042800,638000,257000,,1815002,9000.0,,,2807296,1124600,6234800,338700,322200,1049300,166100,596400,720400,,,27910200,,,,,97700,23700,101300,196400,,,,,,,,,,
2003-04-17,37403100,70275000,3477400,216000,143200,,1543502,17100.0,,,1000803,2423600,798400,132100,162200,195900,24000,475600,1034200,,,14304000,,,,,106200,20500,106800,54800,,,,,,,,,,
2003-04-21,32052700,52742898,1799600,255000,198000,,1130401,72900.0,,,604298,3037600,847600,76800,82000,49000,59000,597600,4068000,,,9449800,,,,,148000,24300,37800,89000,,,,,,,,,,
2003-04-22,59763600,70879398,1848600,2555000,209400,,2584203,19800.0,,,2187364,1659800,391200,71900,137800,305600,183900,741400,451000,,,11481600,,,,,299900,24200,225400,35500,,,,,,,,,,
2003-04-23,44227100,70569906,2297600,405000,775200,,5359206,31500.0,,,5352019,1962600,980800,79700,951200,278400,66300,988800,887000,,,11397200,,,,,42700,75600,145700,51700,,,,,,,,,,
2003-04-24,49692400,72466398,2505200,413000,242000,,1192201,90000.0,,,2339762,782400,382200,35600,362800,38300,35300,1252000,1102800,,,13339800,,,,,199000,87400,45300,344000,,,,,,,,,,
2003-04-25,43917200,63337199,1117000,656000,350800,,1229101,102600.0,,,1955320,1581400,715000,105500,671200,102100,233100,605800,277400,,,14710000,,,,,529700,325600,346200,128400,,,,,,,,,,
2003-04-28,46432900,59682398,1924800,473000,224600,,791401,91800.0,,,543487,997800,807600,143800,41800,349300,156500,889800,798200,,,12417600,,,,,80500,41300,164700,50300,,,,,,,,,,
2003-04-29,52017100,80365797,3254800,457000,379800,,467700,76500.0,,,3207001,1181000,461600,325000,70800,182700,52500,2158200,843400,,,16136600,,,,,177500,54900,68200,275900,,,,,,,,,,
2003-04-30,48709100,60413102,2215200,492000,477600,,1732202,228600.0,,,1805262,1018000,102200,65400,148000,73900,34100,727200,111000,,,12516200,,,,,294100,113200,81600,345600,,,,,,,,,,
2003-05-01,50240400,66054297,2613600,213000,241000,,913201,234900.0,,,1844284,969800,882200,34300,74800,64000,50800,1731400,138200,,,13130600,,,,,231200,77200,90700,47700,,,,,,,,,,
2003-05-02,50201500,85030906,3410400,479000,446400,,778801,67500.0,,,13992654,1167600,910800,407200,252400,71600,38500,1047800,778200,,,11524800,,,,,231500,158900,68400,49200,,,,,,,,,,
2003-05-05,35437800,80617203,3975800,578000,720000,,1083601,47700.0,,,1478923,1858600,853000,33700,252800,74100,152200,1012400,149000,,,15696200,,,,,77700,76900,120700,32100,,,,,,,,,,
2003-05-06,44401000,77571797,3060200,378000,314400,,808201,109800.0,,,2682103,2328200,1084400,324400,1781600,411900,107100,1348400,191800,,,23855400,,,,,260600,74900,107400,139900,,,,,,,,,,
2003-05-07,41413100,70367703,3449000,505000,494600,,668701,313201.0,,,1212043,2072200,1107400,61500,211400,456100,57900,1895800,655200,,,11365200,,,,,306900,159400,48200,102300,,,,,,,,,,
2003-05-08,40570700,80314906,4200400,404000,213600,,1073401,417601.0,,,9815379,1228600,328000,21600,84000,132700,37100,553800,181000,,,13890400,,,,,437400,113200,81900,1171300,,,,,,,,,,
2003-05-09,33608100,58543898,2168600,185000,200000,,957301,63000.0,,,2299139,739800,644200,13800,92400,90900,21700,722800,49400,,,11745800,,,,,110000,82800,213900,36100,,,,,,,,,,
2003-05-12,35662300,67547797,2536600,403000,204200,,860401,752402.0,,,729983,1005000,3372800,36400,216200,339300,226900,428800,99000,,,11375000,,,,,364700,36300,94800,59500,,,,,,,,,,
2003-05-13,39253600,65135500,3012400,324000,199800,,952201,276301.0,,,2092331,1424400,1070600,386800,638200,252100,112900,1081800,167200,,,13910400,,,,,227800,120300,62600,73100,,,,,,,,,,
2003-05-14,32195100,62203000,3340200,465000,248400,,522301,206100.0,,,1343513,1082800,518200,72100,113400,135300,44800,1072000,91600,,,18731200,,,,,1426500,177500,50500,36500,,,,,,,,,,
