cell_id,n,theta_pctl,h,is_sharpe,oos1_sharpe,is_sharpe_pp,oos1_sharpe_pp,n_trades,n_trades_is,is_primary
n80_p70_h5,80,70,5,0.17885576796743285,0.1869089725078431,0.011266854347411896,0.011774158549103842,1303,738,False
n80_p70_h10,80,70,10,0.3529444559509088,0.21354378163275867,0.022233410882502275,0.01345199381487052,1153,651,False
n80_p70_h15,80,70,15,0.20546515197355994,0.25263928194799906,0.012943087981241228,0.015914778843817506,1077,612,False
n80_p80_h5,80,80,5,0.09763606340905857,0.08049934500601642,0.006150493875516719,0.005070982085464494,805,444,False
n80_p80_h10,80,80,10,0.40236203553298466,0.17038851643891853,0.025346425786524084,0.010733467637109981,735,404,False
n80_p80_h15,80,80,15,0.04185465025327971,0.3623480038292659,0.002636595137661064,0.02282577871887899,698,388,False
n80_p90_h5,80,90,5,0.32607799652337704,-0.010771982167466011,0.020540983019310472,-0.0006785710938651807,349,191,False
n80_p90_h10,80,90,10,0.3417383646662668,0.15680712874473252,0.02152749348468677,0.009877920630015477,326,180,False
n80_p90_h15,80,90,15,0.29661148788155484,0.4819316019120343,0.01868476745093911,0.030358837323862454,313,175,False
n120_p70_h5,120,70,5,0.1569927922094116,0.3581938229593364,0.009889616328946227,0.022564089921664334,852,476,False
n120_p70_h10,120,70,10,0.5519531297475513,0.5734301157830954,0.03476977896847114,0.03612270191992963,750,421,False
n120_p70_h15,120,70,15,0.22525251729249618,0.49241193047485116,0.014189574832076692,0.03101903596756389,704,398,False
n120_p80_h5,120,80,5,-0.03912446422940021,0.43147844352052206,-0.0024646095840389353,0.027180587086679288,491,258,False
n120_p80_h10,120,80,10,0.3031134634547036,0.4204664687009385,0.01909435341277645,0.026486897876766825,443,234,True
n120_p80_h15,120,80,15,0.21310591857914182,0.22264920615561123,0.013424411035152104,0.014025581645088065,427,228,False
n120_p90_h5,120,90,5,-0.06837432528112206,0.47522375298880054,-0.0043071776370401296,0.02993628255997986,179,95,False
n120_p90_h10,120,90,10,0.20210905030627963,0.6354731055219633,0.012731673448234728,0.04003104290669098,169,90,False
n120_p90_h15,120,90,15,-0.018588383238847688,0.6173565442942549,-0.0011709580791607697,0.03888980682049595,167,89,False
n160_p70_h5,160,70,5,0.14170175970852728,0.744824423072312,0.008926371822118943,0.046919528425154684,667,364,False
n160_p70_h10,160,70,10,0.12155101510836311,0.8299849952320625,0.007656994228194846,0.052284140221408745,587,325,False
n160_p70_h15,160,70,15,-0.07790898549057465,0.24508573898705732,-0.004907804773938096,0.015438950363053355,553,312,False
n160_p80_h5,160,80,5,0.4813336630506021,0.6801497623483269,0.030321170716086962,0.04284540774888942,371,192,False
n160_p80_h10,160,80,10,0.4256150537439255,0.8431865620999386,0.026811228248852785,0.05311576076542755,338,175,False
n160_p80_h15,160,80,15,0.33643381888187357,0.3907408313481928,0.021193338509361524,0.02461435873395117,325,169,False
n160_p90_h5,160,90,5,0.3042584873963633,0.8429444439023019,0.019166483141225175,0.05310050875259827,124,65,False
n160_p90_h10,160,90,10,0.05674335471231564,0.7698578738307711,0.0035744953601026717,0.04849648759574192,116,61,False
n160_p90_h15,160,90,15,0.0981016533377768,0.8165969168130086,0.006179823284191118,0.05144077055403142,114,60,False
