,ACWI
2009-04-21,21.6735
2009-04-22,21.5179
2009-04-23,21.9211
2009-04-24,22.3667
2009-04-27,21.9706
2009-04-28,21.914
2009-04-29,22.4233
2009-04-30,22.6001
2009-05-01,22.7275
2009-05-04,23.7744
2009-05-05,23.5975
2009-05-06,24.0997
2009-05-07,23.7248
2009-05-08,24.4959
2009-05-11,23.9158
2009-05-12,24.0361
2009-05-13,23.2721
2009-05-14,23.4985
2009-05-15,23.3287
2009-05-18,24.1351
2009-05-19,24.2341
2009-05-20,24.3049
2009-05-21,23.9866
2009-05-22,24.0573
2009-05-26,24.5808
2009-05-27,24.1705
2009-05-28,24.4888
2009-05-29,24.9698
2009-06-01,25.5428
2009-06-02,25.564
2009-06-03,25.0688
2009-06-04,25.2881
2009-06-05,25.1466
2009-06-08,25.1113
2009-06-09,25.3659
2009-06-10,25.3306
2009-06-11,25.6559
2009-06-12,25.6206
2009-06-15,24.8071
2009-06-16,24.4888
2009-06-17,24.3898
2009-06-18,24.4534
2009-06-19,24.5878
2009-06-22,23.8522
2009-06-23,23.942
2009-06-24,24.0561
2009-06-25,24.6906
2009-06-26,24.6122
2009-06-29,24.7905
2009-06-30,24.5908
2009-07-01,24.9259
2009-07-02,24.1702
2009-07-06,24.1488
2009-07-07,23.6639
2009-07-08,23.5998
2009-07-09,23.8065
2009-07-10,23.6069
2009-07-13,24.0062
2009-07-14,24.1987
2009-07-15,25.0614
2009-07-16,25.2682
2009-07-17,25.2682
2009-07-20,25.7601
2009-07-21,25.8742
2009-07-22,25.7815
2009-07-23,26.4161
2009-07-24,26.5301
2009-07-27,26.6014
2009-07-28,26.4446
2009-07-29,26.2449
2009-07-30,26.7654
2009-07-31,26.908
2009-08-03,27.5497
2009-08-04,27.4855
2009-08-05,27.4071
2009-08-06,27.2217
2009-08-07,27.4285
2009-08-10,27.2217
2009-08-11,26.9793
2009-08-12,27.2859
2009-08-13,27.6067
2009-08-14,27.3572
2009-08-17,26.4874
2009-08-18,26.7939
2009-08-19,27.0934
2009-08-20,27.3572
2009-08-21,27.9062
2009-08-24,27.9062
2009-08-25,28.0274
2009-08-26,27.9347
2009-08-27,28.0274
2009-08-28,28.0274
2009-08-31,27.7066
2009-09-01,27.1219
2009-09-02,27.1433
2009-09-03,27.3643
2009-09-04,27.7493
2009-09-08,28.1914
2009-09-09,28.4695
2009-09-10,28.7903
2009-09-11,28.7547
2009-09-14,28.8188
2009-09-15,28.9329
