W,threshold,estimator,full_sharpe,full_sortino,full_cagr,full_max_drawdown,full_calmar,full_vol_annual,full_n_days,full_avg_weekly_turnover,full_annual_turnover,is_sharpe,is_sortino,is_cagr,is_max_drawdown,is_calmar,is_vol_annual,is_n_days,is_avg_weekly_turnover,is_annual_turnover,oos_sharpe,oos_sortino,oos_cagr,oos_max_drawdown,oos_calmar,oos_vol_annual,oos_n_days,oos_avg_weekly_turnover,oos_annual_turnover,sp_2000-07_sharpe,sp_2000-07_sortino,sp_2000-07_cagr,sp_2000-07_max_drawdown,sp_2000-07_calmar,sp_2000-07_vol_annual,sp_2000-07_n_days,sp_2000-07_avg_weekly_turnover,sp_2000-07_annual_turnover,sp_2008-12_sharpe,sp_2008-12_sortino,sp_2008-12_cagr,sp_2008-12_max_drawdown,sp_2008-12_calmar,sp_2008-12_vol_annual,sp_2008-12_n_days,sp_2008-12_avg_weekly_turnover,sp_2008-12_annual_turnover,sp_2013-18_sharpe,sp_2013-18_sortino,sp_2013-18_cagr,sp_2013-18_max_drawdown,sp_2013-18_calmar,sp_2013-18_vol_annual,sp_2013-18_n_days,sp_2013-18_avg_weekly_turnover,sp_2013-18_annual_turnover
125,0.25,hvg,-0.33158127450153013,-0.42040885207811896,-0.01337200564295371,-0.3530654715307081,-0.03787401125626829,0.03837627077485046,6688,0.517717476151671,25.808154258233028,-0.3239400883626686,-0.407504952515825,-0.012637037759889558,-0.2361536152480248,-0.05351193860241042,0.03712882947134611,4778,0.46811276425915455,22.886775676432723,-0.35007418676263385,-0.45451843812781556,-0.015208184539596048,-0.1764307666416456,-0.08619916372344455,0.04133206560248143,1910,0.6338375971727891,33.11618926548009,-0.2701915032489481,-0.3477153888608682,-0.006754833156127238,-0.07678417493638212,-0.08797168377108708,0.024017241594052614,2009,0.28273659124171435,12.519221608012911,-0.36462553526046193,-0.4622058450682352,-0.01828718824515052,-0.1384123722473104,-0.13212105210129346,0.04751675685803305,1259,0.44243495395933885,23.113448603505667,-0.36202569740545165,-0.5004144371377698,-0.015710599216959387,-0.1251783969921092,-0.12550567505629368,0.04137379514549196,1510,0.6985910312348997,36.49143455608209
125,0.5,hvg,-0.38954616513553286,-0.48641991974759136,-0.015454865702593468,-0.3871830400228603,-0.039916174276851,0.03811581050242882,6688,0.5050692252099686,25.177640461737834,-0.3887098498274876,-0.48319412568101505,-0.015022416132270955,-0.27679684444394226,-0.05427235329380115,0.03716113335793112,4778,0.45916457630892193,22.449284571801886,-0.3924222520426237,-0.49782142318024736,-0.016535837497641537,-0.16598548659621581,-0.09962218888370283,0.04040526188026121,1910,0.6125278351374184,32.002815562321075,-0.2055271512415385,-0.2570690138780319,-0.005227647881498321,-0.0771146619887717,-0.06779058283701604,0.024089790267935923,2009,0.278707641487982,12.340824766652524,-0.47003149984076414,-0.5993967542922383,-0.02317865130173058,-0.16307274509900693,-0.14213688061520055,0.04748983179797471,1259,0.44462559348234837,23.22789081375776,-0.4950325720177137,-0.6692474024425022,-0.02114176688952696,-0.15010848520910303,-0.14084324986742894,0.041428689958912614,1510,0.674806661003898,35.24903986314136
125,1.0,hvg,-0.08672209154895605,-0.11014260547300773,-0.003993670219430312,-0.21213457960578852,-0.018826116076180427,0.03786884601042946,6688,0.45701038076997724,22.781912815069877,-0.01116526138469984,-0.014124865120942274,-0.0011021318052778506,-0.1298081590770036,-0.008490466339824249,0.0370984383835638,4778,0.42161628441724863,20.61348901318689,-0.26337696394627635,-0.33921720154840146,-0.011190451872225116,-0.1333986788364071,-0.08388727661949695,0.03972709844098785,1910,0.539864742686592,28.206378221036854,0.27120828604184194,0.35592738079389485,0.006313848073859152,-0.04587714726575198,0.1376251238396538,0.024295756068472247,2009,0.24235341267676275,10.731105116014987,-0.21126280610475884,-0.27167268880647094,-0.011212757781041804,-0.1268804320349861,-0.088372632416242,0.047931594134653144,1259,0.4151738877782662,21.689290664775317,-0.04019503316055234,-0.05539808173752916,-0.002458516669925359,-0.08777063411317443,-0.028010697367815123,0.04066262429912059,1510,0.6291602436733698,32.86466449005345
125,0.25,ordinal,-0.25217894142095443,-0.3201219218232212,-0.010652575009794107,-0.3002521733903506,-0.03547876070140865,0.0393883731916889,6688,0.5312480773554781,26.482653109749844,-0.3083967574628685,-0.3816372809629546,-0.012382453512801095,-0.25270517974152684,-0.04899960311643069,0.038050593984798764,4778,0.49062164110081163,23.987270374155294,-0.1275137834681346,-0.1726031920620622,-0.006311879504354079,-0.14063361731447555,-0.04488172618243811,0.04254978751753572,1910,0.6263508713152658,32.725029398059164,-0.041363772721157335,-0.05334737586530559,-0.001388925243976158,-0.06483750400983634,-0.021421633438656853,0.025648791138950962,2009,0.274682292361518,12.162587356551116,-0.2900349532434207,-0.3737424313891065,-0.01523383161094638,-0.14554135830145087,-0.10467012118571466,0.048815818562092606,1259,0.48931786967733476,25.56268063893381,-0.5769775842916324,-0.7397835560898703,-0.024472676684476058,-0.18375488477849644,-0.13318109455417276,0.04144869148176297,1510,0.7352442431663007,38.406042996016645
125,0.5,ordinal,-0.3424718280816733,-0.4270184784988677,-0.014222256163130442,-0.38571160620443834,-0.03687277212911305,0.03953972533391882,6688,0.5262163029463705,26.231819757342723,-0.3160270568792613,-0.38814489387120094,-0.012733783845064406,-0.27210357204342484,-0.04679756222763672,0.03823507727999775,4778,0.4865647371739461,23.78892190514494,-0.40321703144440624,-0.5244609235911589,-0.017935953659767523,-0.16936898479729234,-0.10589869025449966,0.04262800996631304,1910,0.6190370137318182,32.342901400170476,0.10147061567693283,0.13540324832775272,0.0022399061134985576,-0.059650805309051425,0.03755030802842613,0.025171692492831313,2009,0.27723629262746063,12.275675284703029,-0.39516477416103263,-0.5001907459017346,-0.020883378550136222,-0.15728368288722405,-0.13277523877101782,0.05021133162635158,1259,0.47430344758081466,24.778305285373584,-0.6123380314295424,-0.7840920509796849,-0.025598486743317217,-0.17980658904389912,-0.1423667891117574,0.040972799603700504,1510,0.7328686908759166,38.28195421293297
125,1.0,ordinal,0.13335599986747418,0.1675516052640599,0.004571018901647683,-0.1382209460409376,0.03307037777251113,0.040290702749715836,6688,0.3354795982591942,16.72361784408228,0.18555475592715603,0.2325284024926387,0.006324758964507238,-0.10821352612894175,0.05844702774929426,0.037841098364624876,4778,0.3133357184107499,15.319480360741906,0.027241081934763985,0.034898474145653204,0.00019728810949115605,-0.13822094604093726,0.0014273387293465979,0.045847866679388276,1910,0.38731640790441596,20.236167003977737,0.398486406551644,0.46612125646642866,0.010299720342544116,-0.048455454462151715,0.21256059729228566,0.026604544866607766,2009,0.15962461267439906,7.067977623227398,0.2050191253902766,0.27964714479601926,0.008680518777339996,-0.06376318585799134,0.13613684229443312,0.04771086639003711,1259,0.2605666459521691,13.612382396795923,-0.0010373250143880677,-0.0013588485754742442,-0.0008892610419667379,-0.1082135261289392,-0.008217651469070147,0.04112283743519892,1510,0.5306927415309461,27.72113952383768
125,0.25,psi,0.20279252459407868,0.26801906163984857,0.007737131598059888,-0.15689179509398588,0.04931508109410671,0.042449665752243924,6688,0.45583505813398384,22.723323122254435,0.39237227602858443,0.5220743710717635,0.014813934033645282,-0.08763769709964053,0.1690360943282482,0.03946344133664964,4778,0.4040982637174842,19.75700518992448,-0.17493864193883796,-0.23421789850892613,-0.009750604508283023,-0.13499099242984858,-0.07223151954638875,0.049114583070346156,1910,0.5769461905180626,30.143777091192934,0.4928889350087531,0.6813981802755111,0.013601340430658082,-0.04838062653335273,0.2811319613912309,0.028217318780883623,2009,0.23466624357796065,10.390726910762105,0.45148073072728373,0.62325708069331,0.02202620652513354,-0.05793322868972173,0.38019987877943595,0.051156052818044404,1259,0.3794139622312833,19.821139891879238,0.2735989674782434,0.37311463690945756,0.0104454963158076,-0.08763769709964075,0.1191895344298181,0.04106475397407006,1510,0.615766333356942,32.16502338401467
125,0.5,psi,0.149881555137554,0.19705139266171726,0.00536361649478545,-0.17545019955088492,0.030570592159571003,0.041413133511281924,6688,0.45694070442546786,22.778439457630572,0.32206705544344677,0.4250880958632244,0.011868226383993541,-0.09682506511421873,0.12257390552738906,0.038995026859906336,4778,0.39511376260461156,19.3177386771636,-0.20643579419721644,-0.27466293636335437,-0.010725581652478389,-0.13033442173966203,-0.08229277814192726,0.046904576923370585,1910,0.6016719545970179,31.435627064474147,0.4464277570069898,0.5983432688928634,0.01204402753411049,-0.04725613896147007,0.2548669400166293,0.027675852777503732,2009,0.22590860691092965,10.00294974433482,0.23773744481815115,0.3270153864476089,0.010715167789901558,-0.06499518249239988,0.1648609539815435,0.050113294306986945,1259,0.387896698862043,20.26429045079768,0.32435547764313455,0.4451859472437181,0.012596551089199215,-0.09682506511421896,0.13009597333438183,0.04121418158354461,1510,0.591960643105187,30.921515023552807
125,1.0,psi,0.017546320681041904,0.02279142060924066,-9.06268893524631e-05,-0.18293748788372044,-0.0004953981297155877,0.039647167430122074,6688,0.4392507370742023,21.89659670119479,0.1721885694736342,0.22301102011677099,0.005692712129256039,-0.09508575274637365,0.05986924397012933,0.03692952254349696,4778,0.3761364727899829,18.38990887183574,-0.2945704536582353,-0.3925407209599421,-0.0144128180451637,-0.18293748788372366,-0.07878548137888822,0.04573161471665215,1910,0.5869954921031707,30.668824161235403,0.3023924804887593,0.4041165534295097,0.007684569457310664,-0.05171356308258701,0.14859872341494512,0.02647450854862888,2009,0.22649495887807272,10.02891267394616,-0.13206050743771963,-0.18198534499641278,-0.006835484858277008,-0.08455167019947774,-0.08084387738468624,0.04445527146825969,1259,0.39993106144806384,20.892983140239913,0.3449279522998427,0.45036575042926114,0.013587367880441237,-0.06910306581237702,0.1966246753412149,0.0416449936506572,1510,0.5250600088000315,27.426909439808792
250,0.25,hvg,-0.3194898911561259,-0.3984634880757257,-0.012802762732872952,-0.4099261116039321,-0.03123187903980827,0.038060645343670256,6688,0.49354705726531645,24.101154384927366,-0.3180814523602466,-0.40426205073766475,-0.01193513122630363,-0.28799596452253484,-0.041442008557622485,0.03573816610353675,4778,0.4461737493528775,21.17877906095283,-0.32639316624406906,-0.40125378844924925,-0.0149698689325386,-0.18430634070773522,-0.08122275595649284,0.0433284044146733,1910,0.6012136661572232,31.411682813173623,0.38381021678587557,0.5023019156670728,0.00804744622632847,-0.03050141086647118,0.2638384913261394,0.021484934082006885,2009,0.2604531682961285,10.65044732795597,-0.33662546548536726,-0.45822738588553247,-0.016150027263418076,-0.12387042921813085,-0.1303783910765218,0.04531428300925753,1259,0.4126636864254483,21.55815407750166,-0.8273378126473049,-1.1368481414261666,-0.03447313824551956,-0.21610628196034698,-0.15951937136119435,0.04136494159269954,1510,0.6675508606901274,34.87002760781092
